work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,predicted_salary_usd
2020,Entry-Level,Full-Time,Machine Learning Engineer,138000,US,Fully Remote,US,Small,133715
2020,Mid-Level,Full-Time,Data Scientist,45760,PH,Fully Remote,US,Small,38765
2020,Executive,Full-Time,Data Engineering Manager,79833,ES,Hybrid,ES,Large,96686
2020,Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,50180,PT,On-Site,PT,Medium,50185
2020,Mid-Level,Full-Time,Data Engineer,106000,US,Fully Remote,US,Large,130076
2020,Mid-Level,Full-Time,Data Engineer,112872,GB,Hybrid,GB,Large,63376
2020,Entry-Level,Part-Time,ML Engineer,15966,DE,Fully Remote,DE,Small,75542
2020,Mid-Level,Full-Time,Data Scientist,76958,GB,Fully Remote,GB,Small,55225
2020,Senior,Full-Time,Data Engineer,188000,US,Fully Remote,US,Large,157389
2020,Mid-Level,Full-Time,Data Scientist,105000,US,Fully Remote,US,Large,132008
2020,Mid-Level,Full-Time,Data Engineer,70139,FR,Hybrid,FR,Large,56758
2020,Entry-Level,Full-Time,Data Analyst,6072,IN,On-Site,IN,Small,6785
2020,Entry-Level,Full-Time,Data Analyst,91000,US,Fully Remote,US,Large,80433
2020,Entry-Level,Full-Time,AI Scientist,45896,DK,Hybrid,DK,Small,41044
2020,Entry-Level,Full-Time,Data Engineer,54742,PK,Fully Remote,DE,Large,41462
2020,Senior,Freelance,Computer Vision Engineer,60000,RU,Fully Remote,US,Small,58473
2020,Senior,Full-Time,Principal Data Scientist,148261,DE,Fully Remote,DE,Medium,143018
2020,Mid-Level,Full-Time,Data Scientist,38776,ES,Fully Remote,ES,Medium,43623
2020,Mid-Level,Full-Time,Data Scientist,118000,US,Fully Remote,US,Medium,129928
2020,Senior,Full-Time,Data Scientist,120000,US,Hybrid,US,Large,162825
2020,Mid-Level,Full-Time,Data Scientist,138350,US,Fully Remote,US,Medium,129928
2020,Mid-Level,Full-Time,Data Engineer,110000,US,Fully Remote,US,Large,130076
2020,Mid-Level,Full-Time,Data Engineer,130800,ES,Fully Remote,US,Medium,54142
2020,Entry-Level,Part-Time,Data Scientist,21669,IT,Hybrid,IT,Small,31530
2020,Senior,Full-Time,Data Scientist,412000,US,Fully Remote,US,Large,164449
2020,Senior,Full-Time,Machine Learning Engineer,45618,HR,Fully Remote,HR,Small,79001
2020,Entry-Level,Full-Time,Data Scientist,62726,DE,Hybrid,DE,Small,57303
2020,Entry-Level,Full-Time,Data Scientist,49268,DE,On-Site,DE,Small,52922
2020,Senior,Full-Time,Data Science Manager,190200,US,Fully Remote,US,Medium,172982
2020,Entry-Level,Full-Time,Data Scientist,105000,US,Fully Remote,US,Small,104855
2020,Senior,Full-Time,Data Scientist,91237,AT,On-Site,AT,Small,56296
2020,Mid-Level,Full-Time,Data Scientist,62726,FR,Hybrid,LU,Small,49431
2020,Mid-Level,Full-Time,Data Scientist,42197,FR,Hybrid,FR,Small,41591
2021,Entry-Level,Full-Time,Research Scientist,82528,GB,Hybrid,GB,Large,87119
2021,Executive,Full-Time,BI Data Analyst,150000,IN,Fully Remote,US,Large,77182
2021,Executive,Full-Time,Head of Data,235000,US,Fully Remote,US,Large,249192
2021,Senior,Full-Time,Data Scientist,53192,FR,Hybrid,FR,Large,72861
2021,Mid-Level,Full-Time,BI Data Analyst,100000,US,Fully Remote,US,Medium,101598
2021,Mid-Level,Part-Time,3D Computer Vision Researcher,5409,IN,Hybrid,IN,Medium,12300
2021,Mid-Level,Contract,ML Engineer,270000,US,Fully Remote,US,Large,251267
2021,Entry-Level,Full-Time,Data Analyst,80000,US,Fully Remote,US,Medium,75647
2021,Senior,Full-Time,Data Analytics Engineer,79197,DE,Fully Remote,DE,Large,79227
2021,Mid-Level,Full-Time,Data Engineer,140000,US,Fully Remote,US,Large,137018
2021,Mid-Level,Full-Time,Applied Data Scientist,54238,GB,Hybrid,CA,Large,75009
2021,Mid-Level,Full-Time,Machine Learning Engineer,47282,ES,Fully Remote,ES,Small,42751
2021,Executive,Full-Time,Director of Data Science,153667,IT,Fully Remote,PL,Large,123145
2021,Mid-Level,Full-Time,Data Engineer,28476,PL,Fully Remote,PL,Large,40889
2021,Entry-Level,Full-Time,Data Analyst,59102,FR,Hybrid,FR,Medium,30081
2021,Mid-Level,Full-Time,Data Analytics Engineer,110000,US,Fully Remote,US,Large,106669
2021,Senior,Full-Time,Lead Data Analyst,170000,US,Fully Remote,US,Large,186957
2021,Senior,Full-Time,Data Analyst,80000,BG,Fully Remote,US,Small,67654
2021,Senior,Full-Time,Marketing Data Analyst,88654,GR,Fully Remote,DK,Large,93567
2021,Entry-Level,Full-Time,Data Science Consultant,76833,DE,Fully Remote,DE,Small,51972
2021,Mid-Level,Full-Time,Lead Data Analyst,19609,IN,Fully Remote,IN,Large,31528
2021,Senior,Full-Time,Lead Data Engineer,276000,US,On-Site,US,Large,179341
2021,Entry-Level,Full-Time,Data Scientist,29751,IN,Hybrid,IN,Large,27149
2021,Mid-Level,Full-Time,Cloud Data Engineer,89294,SG,Hybrid,SG,Large,70432
2021,Entry-Level,Part-Time,AI Scientist,12000,BR,Fully Remote,US,Small,56225
2021,Mid-Level,Full-Time,Financial Data Analyst,450000,US,Fully Remote,US,Large,220362
2021,Entry-Level,Full-Time,Computer Vision Software Engineer,70000,US,Fully Remote,US,Medium,76910
2021,Mid-Level,Full-Time,Computer Vision Software Engineer,95746,DE,Fully Remote,US,Small,46053
2021,Mid-Level,Full-Time,Data Analyst,75000,US,On-Site,US,Large,93864
2021,Senior,Full-Time,Data Engineer,150000,US,Fully Remote,US,Large,159920
2021,Mid-Level,Full-Time,BI Data Analyst,36259,HU,Hybrid,US,Large,31828
2021,Mid-Level,Full-Time,Data Analyst,62000,US,On-Site,US,Large,93864
2021,Mid-Level,Full-Time,Data Scientist,73000,US,On-Site,US,Large,127487
2021,Mid-Level,Full-Time,Data Analyst,51519,GB,Hybrid,GB,Large,52177
2021,Mid-Level,Full-Time,Research Scientist,187442,CA,Fully Remote,CA,Large,119927
2021,Senior,Full-Time,Data Engineer,115000,US,Fully Remote,US,Small,129007
2021,Senior,Full-Time,Data Engineer,150000,US,Fully Remote,US,Medium,156054
2021,Entry-Level,Full-Time,Data Engineer,30428,IN,Fully Remote,IN,Large,28489
2021,Senior,Full-Time,Machine Learning Engineer,94564,DE,Hybrid,DE,Large,102996
2021,Senior,Full-Time,Director of Data Engineering,113476,GB,Fully Remote,GB,Medium,125090
2021,Senior,Full-Time,Lead Data Engineer,103160,GB,Fully Remote,GB,Small,107400
2021,Entry-Level,Part-Time,AI Scientist,12000,PK,Fully Remote,US,Medium,9475
2021,Mid-Level,Full-Time,Data Engineer,45391,NL,Fully Remote,NL,Large,43442
2021,Entry-Level,Full-Time,Machine Learning Scientist,225000,US,Fully Remote,US,Large,146676
2021,Mid-Level,Full-Time,Data Scientist,50000,NG,Fully Remote,NG,Large,45669
2021,Mid-Level,Full-Time,Data Science Engineer,40189,GR,Fully Remote,GR,Medium,45575
2021,Entry-Level,Full-Time,Data Analyst,90000,US,Fully Remote,US,Small,63212
2021,Mid-Level,Full-Time,Data Engineer,200000,US,Fully Remote,US,Large,137018
2021,Mid-Level,Full-Time,Big Data Engineer,60000,ES,Hybrid,RO,Medium,39216
2021,Senior,Full-Time,Principal Data Engineer,200000,US,Fully Remote,US,Medium,186513
2021,Entry-Level,Full-Time,Data Analyst,50000,US,Fully Remote,US,Medium,75647
2021,Entry-Level,Full-Time,Applied Data Scientist,110037,GB,On-Site,GB,Large,75922
2021,Entry-Level,Part-Time,Data Analyst,10354,ES,Hybrid,ES,Medium,14018
2021,Mid-Level,Full-Time,Principal Data Scientist,151000,US,Fully Remote,US,Large,156595
2021,Senior,Full-Time,Machine Learning Scientist,120000,US,Hybrid,US,Small,170091
2021,Mid-Level,Full-Time,Data Scientist,9466,IN,On-Site,IN,Small,15724
2021,Entry-Level,Full-Time,Machine Learning Engineer,20000,IN,Fully Remote,IN,Small,31458
2021,Senior,Full-Time,Lead Data Scientist,40570,IN,Hybrid,IN,Large,69652
2021,Entry-Level,Full-Time,Machine Learning Developer,100000,IQ,Hybrid,IQ,Small,56599
2021,Entry-Level,Full-Time,Data Scientist,49646,FR,Hybrid,FR,Medium,44705
2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,38400,VN,Fully Remote,US,Medium,104404
2021,Senior,Full-Time,Computer Vision Engineer,24000,BR,Fully Remote,BR,Medium,31222
2021,Entry-Level,Full-Time,Data Scientist,100000,US,On-Site,US,Small,84879
2021,Mid-Level,Full-Time,Data Analyst,90000,US,Fully Remote,US,Medium,96771
2021,Mid-Level,Full-Time,ML Engineer,63711,JP,Hybrid,JP,Small,74547
2021,Mid-Level,Full-Time,ML Engineer,77364,JP,Hybrid,JP,Small,74547
2021,Senior,Full-Time,Principal Data Scientist,220000,US,On-Site,US,Large,211524
2021,Entry-Level,Full-Time,Data Scientist,80000,US,Fully Remote,US,Medium,110449
2021,Mid-Level,Full-Time,Data Analyst,135000,US,Fully Remote,US,Large,100403
2021,Senior,Full-Time,Data Science Manager,240000,US,On-Site,US,Large,183839
2021,Senior,Full-Time,Data Engineering Manager,150000,US,On-Site,US,Large,151252
2021,Mid-Level,Full-Time,Data Scientist,82500,US,Fully Remote,US,Small,111340
2021,Mid-Level,Full-Time,Data Engineer,100000,US,Fully Remote,US,Large,137018
2021,Senior,Full-Time,Machine Learning Engineer,82744,BE,Hybrid,BE,Medium,80188
2021,Mid-Level,Full-Time,Research Scientist,62649,FR,Hybrid,FR,Medium,80847
2021,Mid-Level,Full-Time,Data Engineer,90000,US,Fully Remote,US,Large,137018
2021,Senior,Full-Time,Data Engineering Manager,153000,US,Fully Remote,US,Large,159920
2021,Senior,Full-Time,Cloud Data Engineer,160000,BR,Fully Remote,US,Small,57369
2021,Senior,Full-Time,Director of Data Science,168000,JP,On-Site,JP,Small,89751
2021,Mid-Level,Full-Time,Data Scientist,150000,US,Fully Remote,US,Medium,136870
2021,Mid-Level,Full-Time,Data Scientist,75774,CA,Fully Remote,CA,Large,97436
2021,Entry-Level,Full-Time,Data Scientist,13400,UA,Fully Remote,UA,Large,27116
2021,Senior,Full-Time,Data Science Manager,144000,US,Fully Remote,US,Large,179380
2021,Senior,Full-Time,Data Science Engineer,127221,CA,Hybrid,CA,Large,103033
2021,Mid-Level,Full-Time,Data Scientist,119059,SG,Fully Remote,IL,Medium,60163
2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,423000,US,Hybrid,US,Large,155452
2021,Senior,Full-Time,Data Analytics Manager,120000,US,Fully Remote,US,Medium,142858
2021,Entry-Level,Full-Time,Machine Learning Engineer,125000,US,Fully Remote,US,Small,124944
2021,Executive,Full-Time,Head of Data,230000,RU,Hybrid,RU,Large,164128
2021,Executive,Full-Time,Head of Data Science,85000,RU,On-Site,RU,Medium,94856
2021,Mid-Level,Full-Time,Data Engineer,28369,MT,Hybrid,MT,Large,40318
2021,Entry-Level,Full-Time,Data Science Consultant,63831,DE,Hybrid,DE,Large,52533
2021,Executive,Full-Time,Director of Data Science,130026,DE,Hybrid,DE,Medium,149966
2021,Senior,Full-Time,Data Specialist,165000,US,Fully Remote,US,Large,150012
2021,Entry-Level,Full-Time,Data Engineer,80000,US,Fully Remote,US,Large,109346
2021,Executive,Full-Time,Director of Data Science,250000,US,On-Site,US,Large,263339
2021,Entry-Level,Full-Time,BI Data Analyst,55000,US,Hybrid,US,Small,62616
2021,Mid-Level,Full-Time,Data Architect,150000,US,Fully Remote,US,Large,147829
2021,Mid-Level,Full-Time,Data Architect,170000,US,Fully Remote,US,Large,147829
2021,Mid-Level,Full-Time,Data Engineer,82528,GB,Fully Remote,GB,Large,71922
2021,Entry-Level,Full-Time,Data Analyst,60000,US,Fully Remote,US,Small,63212
2021,Senior,Full-Time,Principal Data Scientist,235000,US,Fully Remote,US,Large,199460
2021,Senior,Full-Time,Research Scientist,60757,PT,Hybrid,PT,Large,90257
2021,Senior,Full-Time,Data Engineering Manager,174000,US,Fully Remote,US,Large,159920
2021,Mid-Level,Full-Time,Data Scientist,2859,MX,On-Site,MX,Small,30758
2021,Mid-Level,Full-Time,Data Scientist,40038,CL,Fully Remote,CL,Large,66601
2021,Entry-Level,Full-Time,Machine Learning Engineer,81000,US,Hybrid,US,Small,121157
2021,Mid-Level,Full-Time,Data Scientist,5679,IN,Fully Remote,US,Small,21052
2021,Mid-Level,Full-Time,Big Data Engineer,22611,IN,On-Site,IN,Large,21774
2021,Mid-Level,Full-Time,Data Scientist,90734,DE,Hybrid,DE,Large,72359
2021,Mid-Level,Full-Time,Data Engineer,26005,RO,On-Site,US,Large,37972
2021,Senior,Full-Time,Finance Data Analyst,61896,GB,Hybrid,GB,Large,94958
2021,Mid-Level,Freelance,Machine Learning Scientist,12000,PK,Hybrid,PK,Medium,38063
2021,Mid-Level,Full-Time,Data Engineer,4000,IR,Fully Remote,IR,Medium,37955
2021,Senior,Full-Time,Data Analytics Engineer,50000,VN,Fully Remote,GB,Medium,51008
2021,Executive,Full-Time,Data Science Consultant,69741,FR,Fully Remote,ES,Small,93257
2021,Senior,Full-Time,Data Engineer,76833,RO,Hybrid,GB,Small,50198
2021,Mid-Level,Full-Time,Machine Learning Engineer,74000,JP,Hybrid,JP,Small,58984
2021,Senior,Full-Time,Data Science Manager,152000,US,Fully Remote,FR,Large,159010
2021,Entry-Level,Full-Time,Machine Learning Engineer,21844,CO,Hybrid,CO,Medium,49178
2021,Mid-Level,Full-Time,Big Data Engineer,18000,MD,On-Site,MD,Small,18538
2021,Senior,Full-Time,Data Science Manager,174000,US,Fully Remote,US,Large,179380
2021,Senior,Full-Time,Research Scientist,96113,CA,Hybrid,CA,Large,111000
2021,Mid-Level,Full-Time,Data Scientist,147000,US,Hybrid,US,Large,133048
2021,Entry-Level,Full-Time,BI Data Analyst,9272,KE,Fully Remote,KE,Small,31496
2021,Senior,Full-Time,Machine Learning Engineer,24342,IN,Fully Remote,IN,Large,72058
2021,Senior,Full-Time,Data Science Manager,54094,IN,Hybrid,US,Large,81097
2021,Entry-Level,Full-Time,Data Science Consultant,90000,US,Fully Remote,US,Small,74204
2021,Mid-Level,Full-Time,Data Scientist,61467,DE,Hybrid,AT,Medium,63244
2021,Senior,Full-Time,Machine Learning Infrastructure Engineer,195000,US,Fully Remote,US,Medium,187424
2021,Mid-Level,Full-Time,Data Scientist,37825,ES,Fully Remote,ES,Large,49401
2021,Senior,Full-Time,Research Scientist,50000,FR,Fully Remote,US,Small,168304
2021,Mid-Level,Full-Time,Data Scientist,160000,US,Fully Remote,US,Large,138950
2021,Mid-Level,Full-Time,Data Scientist,12901,BR,On-Site,BR,Small,42546
2021,Senior,Full-Time,Machine Learning Engineer,200000,US,Fully Remote,US,Large,188238
2021,Senior,Full-Time,Data Engineer,165000,US,On-Site,US,Medium,149961
2021,Mid-Level,Freelance,Data Engineer,20000,IT,On-Site,US,Large,30493
2021,Senior,Full-Time,Data Analytics Manager,120000,US,On-Site,US,Large,137097
2021,Mid-Level,Full-Time,Machine Learning Engineer,24823,SI,Hybrid,SI,Large,39136
2021,Mid-Level,Full-Time,Research Scientist,56738,FR,Hybrid,FR,Small,67653
2021,Mid-Level,Full-Time,Data Engineer,66022,HK,Hybrid,GB,Small,33337
2021,Entry-Level,Full-Time,Big Data Engineer,5882,IN,On-Site,CH,Large,11346
2021,Entry-Level,Full-Time,Machine Learning Engineer,24823,DE,Hybrid,DE,Medium,70468
2021,Senior,Full-Time,Principal Data Engineer,185000,US,Fully Remote,US,Large,187297
2021,Entry-Level,Part-Time,Computer Vision Engineer,28609,DK,Hybrid,DK,Small,37889
2021,Mid-Level,Full-Time,Machine Learning Engineer,88654,BE,Fully Remote,BE,Medium,76930
2021,Senior,Full-Time,Data Analytics Manager,140000,US,Fully Remote,US,Large,148769
2021,Mid-Level,Full-Time,Machine Learning Engineer,46597,PL,Fully Remote,PL,Large,48304
2021,Mid-Level,Full-Time,Data Scientist,116914,GB,Hybrid,GB,Large,72447
2021,Mid-Level,Full-Time,Data Scientist,33808,IN,On-Site,IN,Medium,31548
2021,Mid-Level,Full-Time,Data Scientist,56256,GB,Hybrid,GB,Large,72447
2021,Senior,Full-Time,Machine Learning Scientist,225000,US,Fully Remote,CA,Large,196900
2021,Executive,Contract,Principal Data Scientist,416000,US,Fully Remote,US,Small,402590
2021,Senior,Full-Time,Data Scientist,87738,CA,Fully Remote,CA,Small,99730
2021,Mid-Level,Full-Time,Data Scientist,88654,DE,Hybrid,DE,Large,72359
2021,Senior,Full-Time,Data Scientist,135000,US,On-Site,US,Large,152275
2021,Senior,Full-Time,Data Analyst,71786,CA,Fully Remote,CA,Medium,84012
2021,Entry-Level,Full-Time,Big Data Engineer,16228,IN,Fully Remote,IN,Large,19671
2021,Senior,Full-Time,ML Engineer,256000,US,Fully Remote,US,Small,191017
2021,Senior,Full-Time,Director of Data Engineering,200000,US,Fully Remote,US,Large,195221
2021,Senior,Full-Time,Data Analyst,200000,US,Fully Remote,US,Large,123653
2021,Mid-Level,Full-Time,Data Architect,180000,US,Fully Remote,US,Large,147829
2021,Mid-Level,Full-Time,Head of Data Science,110000,US,On-Site,US,Small,119639
2021,Mid-Level,Full-Time,Research Scientist,63810,CA,Fully Remote,CA,Medium,107050
2021,Mid-Level,Full-Time,Data Scientist,46809,ES,Fully Remote,ES,Medium,49045
2021,Entry-Level,Full-Time,Data Scientist,4000,VN,On-Site,VN,Medium,6700
2021,Entry-Level,Full-Time,Data Engineer,21637,IN,Hybrid,IN,Medium,26664
2021,Senior,Full-Time,Data Scientist,103691,CA,Fully Remote,CA,Large,123435
2021,Mid-Level,Full-Time,Data Analyst,80000,US,Fully Remote,US,Large,100403
2021,Mid-Level,Full-Time,Data Engineer,110000,US,Fully Remote,US,Large,137018
2021,Senior,Full-Time,Data Scientist,165000,US,Fully Remote,US,Large,166981
2021,Entry-Level,Full-Time,AI Scientist,18053,IN,Fully Remote,AS,Small,18876
2021,Mid-Level,Full-Time,Data Engineer,72212,GB,Hybrid,GB,Large,68798
2021,Entry-Level,Full-Time,Data Scientist,36643,FR,Hybrid,FR,Large,45427
2021,Mid-Level,Full-Time,Data Engineer,12103,TR,On-Site,TR,Medium,20677
2021,Senior,Full-Time,Data Engineer,96282,GB,Hybrid,GB,Large,83146
2021,Senior,Full-Time,Principal Data Analyst,170000,US,Fully Remote,US,Medium,183112
2021,Mid-Level,Full-Time,Data Scientist,115000,US,Hybrid,US,Large,133048
2021,Entry-Level,Full-Time,Data Scientist,90000,US,Fully Remote,US,Small,96083
2021,Executive,Full-Time,Principal Data Engineer,600000,US,Fully Remote,US,Large,212406
2021,Entry-Level,Full-Time,Data Scientist,28399,IN,Fully Remote,IN,Medium,26715
2021,Mid-Level,Full-Time,Data Analyst,93000,US,Fully Remote,US,Large,100403
2021,Senior,Full-Time,Big Data Architect,99703,CA,Hybrid,CA,Medium,62364
2021,Senior,Full-Time,Principal Data Scientist,173762,DE,Fully Remote,DE,Medium,152019
2021,Senior,Full-Time,Machine Learning Engineer,185000,US,Hybrid,US,Large,174901
2021,Executive,Full-Time,Director of Data Science,141846,DE,On-Site,DE,Large,150827
2021,Mid-Level,Full-Time,Data Scientist,130000,US,Hybrid,US,Large,133048
2021,Senior,Full-Time,Data Analyst,63831,DE,Hybrid,DE,Large,64591
2021,Mid-Level,Full-Time,Data Scientist,16904,IN,Fully Remote,IN,Small,18818
2021,Senior,Full-Time,Machine Learning Engineer,66265,IN,On-Site,IN,Large,89063
2021,Mid-Level,Full-Time,Data Scientist,25532,RS,Fully Remote,DE,Small,30375
2021,Senior,Full-Time,Lead Data Engineer,160000,PR,Hybrid,US,Small,89941
2021,Mid-Level,Full-Time,Data Engineer,93150,US,On-Site,US,Medium,126651
2021,Mid-Level,Full-Time,Data Engineer,111775,US,On-Site,US,Medium,126651
2021,Mid-Level,Full-Time,Data Engineer,28016,TR,Fully Remote,TR,Medium,29171
2021,Entry-Level,Full-Time,Data Engineer,65013,DE,Hybrid,DE,Medium,69986
2021,Entry-Level,Full-Time,Data Engineer,72500,US,Fully Remote,US,Large,109346
2021,Senior,Full-Time,Computer Vision Engineer,18907,BR,On-Site,BR,Medium,25744
2021,Entry-Level,Full-Time,Data Science Consultant,76833,DE,On-Site,DE,Large,47126
2021,Entry-Level,Full-Time,Machine Learning Engineer,85000,NL,Fully Remote,DE,Small,55614
2021,Senior,Full-Time,Data Scientist,77684,FR,Hybrid,FR,Medium,73293
2021,Entry-Level,Full-Time,Data Scientist,100000,US,Fully Remote,US,Medium,110449
2021,Entry-Level,Full-Time,Data Scientist,58000,US,Hybrid,US,Large,107781
2021,Senior,Full-Time,AI Scientist,55000,ES,Fully Remote,ES,Large,62700
2021,Senior,Full-Time,Data Scientist,20171,TR,Hybrid,TR,Large,49837
2021,Entry-Level,Full-Time,Business Data Analyst,59102,LU,Fully Remote,LU,Large,31458
2021,Mid-Level,Full-Time,Data Engineer,112000,US,Fully Remote,US,Large,137018
2021,Entry-Level,Full-Time,Research Scientist,100000,JE,On-Site,CN,Large,75518
2021,Mid-Level,Part-Time,Data Engineer,69741,NL,Fully Remote,NL,Large,54098
2021,Senior,Contract,Staff Data Scientist,105000,US,Fully Remote,US,Medium,110358
2021,Mid-Level,Full-Time,Research Scientist,69999,CZ,Hybrid,CZ,Large,82940
2021,Senior,Full-Time,Data Science Manager,94665,IN,Hybrid,IN,Large,70587
2021,Senior,Full-Time,Head of Data,102839,SI,Fully Remote,SI,Large,114797
2021,Mid-Level,Full-Time,Data Scientist,109000,US,Hybrid,US,Large,133048
2021,Mid-Level,Full-Time,Machine Learning Engineer,51064,IT,Hybrid,IT,Large,45976
2022,Senior,Full-Time,Data Engineer,135000,US,Fully Remote,US,Medium,157016
2022,Senior,Full-Time,Data Analyst,155000,US,Fully Remote,US,Medium,118871
2022,Senior,Full-Time,Data Analyst,120600,US,Fully Remote,US,Medium,118871
2022,Mid-Level,Full-Time,Data Scientist,130000,US,On-Site,US,Medium,133730
2022,Mid-Level,Full-Time,Data Scientist,90000,US,On-Site,US,Medium,133730
2022,Mid-Level,Full-Time,Data Engineer,170000,US,Fully Remote,US,Medium,138127
2022,Mid-Level,Full-Time,Data Engineer,150000,US,Fully Remote,US,Medium,138127
2022,Senior,Full-Time,Data Analyst,102100,US,Fully Remote,US,Medium,118871
2022,Senior,Full-Time,Data Analyst,84900,US,Fully Remote,US,Medium,118871
2022,Senior,Full-Time,Data Scientist,136620,US,Fully Remote,US,Medium,163950
2022,Senior,Full-Time,Data Scientist,99360,US,Fully Remote,US,Medium,163950
2022,Senior,Full-Time,Data Scientist,117789,GB,On-Site,GB,Medium,101494
2022,Senior,Full-Time,Data Scientist,104702,GB,On-Site,GB,Medium,101494
2022,Senior,Full-Time,Data Scientist,146000,US,Fully Remote,US,Medium,163950
2022,Senior,Full-Time,Data Scientist,123000,US,Fully Remote,US,Medium,163950
2022,Entry-Level,Full-Time,Data Engineer,52351,GB,Fully Remote,GB,Medium,61710
2022,Senior,Full-Time,Data Analyst,99000,US,On-Site,US,Medium,118314
2022,Senior,Full-Time,Data Analyst,116000,US,On-Site,US,Medium,118314
2022,Mid-Level,Full-Time,Data Analyst,106260,US,On-Site,US,Medium,99720
2022,Mid-Level,Full-Time,Data Analyst,126500,US,On-Site,US,Medium,99720
2022,Executive,Full-Time,Data Engineer,242000,US,Fully Remote,US,Medium,197612
2022,Executive,Full-Time,Data Engineer,200000,US,Fully Remote,US,Medium,197612
2022,Mid-Level,Full-Time,Data Scientist,65438,GB,On-Site,GB,Medium,84763
2022,Mid-Level,Full-Time,Data Scientist,39263,GB,On-Site,GB,Medium,84763
2022,Mid-Level,Full-Time,Data Engineer,78526,GB,On-Site,GB,Medium,82552
2022,Mid-Level,Full-Time,Data Engineer,52351,GB,On-Site,GB,Medium,82552
2022,Senior,Full-Time,Data Scientist,165220,US,Fully Remote,US,Medium,163950
2022,Entry-Level,Full-Time,Data Engineer,45807,GB,Fully Remote,GB,Medium,61710
2022,Senior,Full-Time,Data Scientist,120160,US,Fully Remote,US,Medium,163950
